"","isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
"39",0,1,"ARM","Armenia","XX","N",2005,2005,"X",183.7796,3.424629,171.3197,0.3236236,0.07686892,0.02795334,0.09839637,0.3599235,130.5109,0.217763,-1,2.981259,"ARM_N2005X",0.03334,0.04719,0.05535,0.06281,0.07127,0.08103,0.09263,0.1096,0.139,0.3078
"40",0,1,"ARM","Armenia","XX","N",2008,2008,"X",183.7796,3.424629,188.2736,0.1797634,0.03542661,0.01142918,0.04385231,0.2918814,159.8224,0.1397946,-1,2.90822,"ARM_N2008X",0.03854,0.05267,0.0608,0.06992,0.0795,0.09063,0.1041,0.1203,0.1466,0.2369
"41",0,1,"ARM","Armenia","XX","N",2010,2010,"X",183.7796,3.424629,170.8403,0.2526208,0.05267022,0.01655463,0.06437054,0.2999258,142.119,0.1487553,-1,2.877311,"ARM_N2010X",0.0389,0.05214,0.06075,0.06974,0.07907,0.0886,0.1004,0.1166,0.1435,0.2503
"42",0,1,"ARM","Armenia","XX","N",2011,2011,"X",183.7796,3.424629,174.3994,0.234505,0.04945315,0.01605333,0.06093129,0.2935295,148.3613,0.1415771,-1,2.875581,"ARM_N2011X",0.0383,0.05207,0.0614,0.07065,0.07988,0.09002,0.1024,0.1197,0.1459,0.2397
"43",0,1,"ARM","Armenia","XX","N",2012,2012,"X",183.7796,3.424629,180.6668,0.2141221,0.04414631,0.01412743,0.05424128,0.2960226,152.9493,0.1451349,-1,2.881922,"ARM_N2012X",0.03791,0.05203,0.06113,0.07067,0.08014,0.09054,0.1023,0.1179,0.142,0.2454
"44",0,1,"ARM","Armenia","XX","N",2013,2013,"X",183.7796,3.424629,187.4612,0.1972588,0.04478588,0.01584162,0.05690254,0.3057966,158.3366,0.1565597,-1,2.893509,"ARM_N2013X",0.03564,0.0506,0.05979,0.06904,0.07927,0.08988,0.1026,0.1193,0.1471,0.2469
"45",0,1,"ARM","Armenia","XX","N",2015,2015,"X",183.7796,3.424629,206.1151,0.1703355,0.03807892,0.01331471,0.04805482,0.3235677,170.5916,0.1763798,-1,2.91695,"ARM_N2015X",0.03378,0.04844,0.0577,0.06795,0.07811,0.0892,0.1015,0.1164,0.1395,0.2673
"46",0,1,"AZE","Azerbaijan","XX","N",1981,1995,"X",0.3294187,3.468903,445.7032,0.03294844,0.009830727,0.004760482,0.01464706,0.3465029,363.2906,0.2078099,-1,6.24932,"AZE_N1995X",0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
"47",0,1,"AZE","Azerbaijan","XX","N",1984,1995,"X",0.3294187,3.468903,497.4506,0.02590372,0.007579476,0.00379508,0.01144581,0.3465029,405.4697,0.2078099,-1,6.557585,"AZE_N1995X",0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
"48",0,1,"AZE","Azerbaijan","XX","N",1987,1995,"X",0.3294187,3.468903,535.2148,0.02067529,0.006378369,0.003295023,0.009735913,0.3465029,436.2512,0.2078099,-1,6.8935,"AZE_N1995X",0.02694,0.04377,0.05496,0.06545,0.07575,0.08791,0.1022,0.1229,0.1524,0.2677
